,fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
669,17111,IL,4.7,"89,730"
670,17113,IL,4.6,"71,919"
671,17115,IL,7.7,"57,601"
672,17117,IL,4.5,"53,312"
673,17119,IL,4.9,"63,903"
674,17121,IL,5.8,"52,019"
675,17123,IL,5.6,"54,022"
676,17125,IL,5.4,"53,503"
677,17127,IL,5.8,"49,054"
678,17129,IL,4.1,"69,749"
679,17131,IL,4.9,"62,857"
680,17133,IL,3.1,"90,880"
681,17135,IL,5.4,"59,497"
682,17137,IL,5.0,"54,764"
683,17139,IL,3.5,"61,022"
684,17141,IL,5.8,"71,470"
685,17143,IL,7.2,"53,506"
686,17145,IL,5.8,"55,132"
687,17147,IL,4.0,"69,521"
688,17149,IL,4.1,"48,815"
689,17151,IL,5.1,"49,071"
690,17153,IL,9.3,"40,481"
691,17155,IL,5.0,"70,070"
692,17157,IL,4.3,"56,867"
693,17159,IL,4.3,"56,900"
694,17161,IL,5.6,"58,022"
695,17163,IL,6.1,"61,863"
696,17165,IL,6.6,"45,793"
697,17167,IL,5.5,"60,541"
698,17169,IL,3.9,"53,686"
699,17171,IL,5.1,"59,285"
700,17173,IL,4.2,"64,508"
701,17175,IL,5.5,"54,219"
702,17177,IL,5.5,"57,952"
703,17179,IL,5.0,"69,874"
704,17181,IL,5.7,"55,736"
705,17183,IL,6.5,"49,678"
706,17185,IL,4.5,"56,190"
707,17187,IL,4.6,"57,964"
708,17189,IL,3.0,"69,386"
709,17191,IL,4.7,"49,649"
710,17193,IL,5.0,"46,080"
711,17195,IL,4.8,"64,413"
712,17197,IL,5.7,"90,349"
713,17199,IL,5.5,"59,174"
714,17201,IL,8.4,"54,971"
715,17203,IL,4.0,"72,980"
716,18000,IN,3.6,"60,794"
717,18001,IN,2.2,"58,602"
718,18003,IN,3.7,"61,039"
719,18005,IN,2.9,"70,545"
720,18007,IN,2.7,"59,663"
721,18009,IN,3.7,"49,105"
722,18011,IN,2.1,"92,302"
723,18013,IN,3.2,"70,930"
724,18015,IN,2.9,"62,388"
725,18017,IN,3.6,"50,419"
726,18019,IN,3.2,"65,555"
727,18021,IN,3.6,"56,422"
728,18023,IN,2.8,"59,503"
729,18025,IN,3.7,"46,884"
730,18027,IN,2.3,"53,101"
731,18029,IN,3.0,"73,459"
732,18031,IN,2.8,"61,561"
733,18033,IN,2.7,"62,411"
734,18035,IN,3.9,"46,612"
735,18037,IN,2.4,"64,120"
736,18039,IN,2.5,"66,801"
737,18041,IN,4.4,"53,616"
738,18043,IN,2.8,"70,610"
739,18045,IN,2.9,"55,627"
740,18047,IN,2.7,"71,828"
741,18049,IN,3.3,"55,895"
742,18051,IN,2.5,"59,074"
743,18053,IN,3.7,"49,788"
744,18055,IN,3.4,"55,213"
745,18057,IN,2.2,"96,359"
746,18059,IN,2.6,"77,916"
747,18061,IN,2.7,"62,082"
748,18063,IN,2.5,"86,905"
749,18065,IN,3.2,"54,002"
750,18067,IN,6.2,"59,309"
751,18069,IN,3.0,"59,252"
752,18071,IN,3.0,"62,415"
753,18073,IN,3.5,"70,662"
754,18075,IN,2.7,"42,504"
755,18077,IN,3.1,"55,588"
756,18079,IN,3.7,"60,526"
757,18081,IN,2.6,"76,868"
758,18083,IN,2.8,"44,842"
759,18085,IN,2.7,"62,269"
760,18087,IN,2.0,"72,513"
761,18089,IN,6.1,"59,158"
762,18091,IN,5.1,"63,999"
763,18093,IN,3.5,"63,904"
764,18095,IN,4.1,"51,718"
765,18097,IN,4.4,"56,185"
766,18099,IN,2.7,"57,657"
767,18101,IN,2.5,"46,486"
768,18103,IN,4.4,"54,439"
769,18105,IN,2.9,"61,808"
770,18107,IN,2.6,"58,867"
771,18109,IN,2.9,"67,004"
772,18111,IN,3.8,"59,246"
773,18113,IN,3.3,"62,173"
774,18115,IN,2.5,"63,210"
775,18117,IN,4.2,"52,029"
776,18119,IN,3.6,"53,893"
777,18121,IN,2.9,"54,125"
778,18123,IN,3.1,"44,011"
779,18125,IN,3.4,"58,220"
780,18127,IN,3.9,"78,732"
781,18129,IN,2.6,"63,801"
782,18131,IN,2.9,"52,609"
783,18133,IN,3.1,"66,613"
784,18135,IN,2.9,"67,178"
785,18137,IN,2.8,"58,849"
786,18139,IN,2.8,"67,318"
787,18141,IN,4.2,"60,070"
788,18143,IN,3.9,"59,286"
789,18145,IN,3.0,"59,252"
790,18147,IN,2.7,"66,667"
791,18149,IN,4.3,"51,996"
792,18151,IN,2.5,"62,273"
793,18153,IN,3.8,"45,227"
794,18155,IN,3.5,"55,618"
795,18157,IN,3.3,"52,806"
796,18159,IN,3.0,"76,368"
797,18161,IN,2.4,"59,098"
798,18163,IN,3.6,"49,482"
799,18165,IN,4.0,"52,433"
800,18167,IN,4.3,"45,897"
801,18169,IN,2.9,"55,750"
802,18171,IN,2.6,"68,135"
803,18173,IN,2.6,"82,453"
804,18175,IN,3.1,"49,494"
805,18177,IN,3.6,"49,798"
806,18179,IN,2.6,"66,597"
807,18181,IN,2.6,"57,787"
808,18183,IN,2.7,"61,841"
809,19000,IA,4.2,"62,362"
810,19001,IA,3.1,"55,265"
811,19003,IA,3.0,"56,291"
812,19005,IA,4.6,"55,320"
813,19007,IA,4.3,"49,737"
814,19009,IA,3.2,"56,338"
815,19011,IA,4.5,"72,308"
816,19013,IA,4.6,"56,091"
817,19015,IA,3.5,"70,656"
818,19017,IA,3.2,"74,596"
819,19019,IA,3.7,"66,852"
820,19021,IA,3.2,"61,189"
821,19023,IA,3.8,"54,822"
822,19025,IA,3.9,"62,000"
823,19027,IA,3.1,"61,701"
824,19029,IA,3.7,"55,301"
825,19031,IA,3.8,"68,592"
826,19033,IA,4.3,"57,659"
827,19035,IA,3.4,"61,360"
828,19037,IA,3.6,"63,869"
829,19039,IA,4.3,"69,923"
830,19041,IA,3.6,"59,940"
831,19043,IA,5.1,"56,256"
832,19045,IA,5.3,"56,017"
833,19047,IA,5.2,"56,707"
834,19049,IA,2.9,"92,025"
835,19051,IA,3.3,"57,225"
836,19053,IA,3.3,"46,373"
837,19055,IA,3.3,"66,364"
838,19057,IA,6.3,"55,153"
839,19059,IA,3.9,"67,477"
840,19061,IA,4.4,"65,986"
841,19063,IA,4.1,"57,652"
842,19065,IA,4.7,"53,254"
843,19067,IA,4.3,"60,790"
844,19069,IA,3.7,"59,596"
845,19071,IA,2.9,"62,234"
846,19073,IA,3.4,"54,857"
847,19075,IA,3.6,"71,837"
848,19077,IA,4.2,"65,344"
849,19079,IA,4.2,"61,650"
850,19081,IA,3.8,"58,053"
851,19083,IA,4.2,"58,502"
852,19085,IA,3.9,"63,118"
853,19087,IA,4.2,"56,260"
854,19089,IA,3.8,"60,034"
855,19091,IA,3.5,"62,071"
856,19093,IA,3.2,"56,096"
857,19095,IA,3.8,"67,820"
858,19097,IA,5.0,"61,538"
859,19099,IA,4.3,"63,458"
860,19101,IA,4.2,"52,830"
861,19103,IA,3.7,"68,790"
862,19105,IA,4.5,"61,736"
863,19107,IA,4.4,"54,790"
864,19109,IA,3.3,"65,006"
865,19111,IA,5.9,"58,619"
866,19113,IA,5.0,"69,559"
867,19115,IA,4.3,"72,404"
868,19117,IA,3.1,"48,662"
869,19119,IA,2.3,"67,280"
870,19121,IA,4.5,"75,563"
871,19123,IA,3.7,"59,704"
872,19125,IA,3.1,"64,327"
873,19127,IA,6.5,"64,341"
874,19129,IA,3.5,"76,010"
875,19131,IA,3.0,"67,127"
876,19133,IA,4.4,"58,079"
877,19135,IA,4.1,"58,297"
878,19137,IA,4.1,"54,767"
879,19139,IA,4.7,"62,877"
880,19141,IA,3.0,"63,559"
881,19143,IA,2.4,"63,695"
882,19145,IA,4.1,"52,739"
883,19147,IA,3.3,"63,164"
884,19149,IA,3.0,"72,261"
885,19151,IA,3.1,"56,360"
886,19153,IA,4.5,"67,821"
887,19155,IA,4.3,"61,607"
888,19157,IA,4.4,"60,023"
889,19159,IA,3.4,"53,466"
890,19161,IA,3.3,"54,107"
891,19163,IA,5.4,"67,038"
892,19165,IA,3.2,"54,234"
893,19167,IA,2.4,"74,868"
894,19169,IA,3.0,"61,341"
895,19171,IA,4.7,"58,329"
896,19173,IA,3.1,"70,519"
897,19175,IA,4.5,"48,862"
898,19177,IA,3.8,"51,908"
899,19179,IA,5.0,"49,060"
900,19181,IA,3.7,"82,206"
901,19183,IA,3.8,"65,061"
902,19185,IA,3.7,"52,016"
903,19187,IA,4.6,"58,355"
904,19189,IA,4.2,"52,706"
905,19191,IA,4.1,"61,813"
906,19193,IA,4.3,"60,553"
907,19195,IA,4.2,"54,474"
908,19197,IA,4.1,"57,133"
909,20000,KS,3.2,"63,214"
910,20001,KS,3.0,"48,616"
911,20003,KS,2.5,"53,936"
912,20005,KS,3.8,"56,691"
913,20007,KS,1.9,"52,749"
914,20009,KS,2.9,"51,149"
915,20011,KS,3.7,"49,821"
916,20013,KS,2.7,"49,483"
917,20015,KS,3.5,"71,827"
918,20017,KS,2.4,"57,338"
919,20019,KS,4.0,"43,155"
920,20021,KS,2.9,"48,336"
921,20023,KS,1.8,"50,623"
922,20025,KS,1.8,"58,365"
923,20027,KS,2.6,"53,119"
924,20029,KS,2.8,"55,001"
925,20031,KS,3.2,"59,142"
926,20033,KS,2.1,"49,314"
927,20035,KS,3.4,"51,398"
928,20037,KS,3.2,"46,714"
929,20039,KS,2.6,"48,189"
930,20041,KS,3.0,"56,755"
931,20043,KS,2.7,"57,012"
932,20045,KS,3.1,"65,149"
933,20047,KS,2.1,"51,756"
934,20049,KS,2.8,"45,974"
935,20051,KS,1.9,"55,505"
936,20053,KS,2.2,"53,443"
937,20055,KS,2.1,"65,023"
938,20057,KS,2.1,"54,442"
939,20059,KS,3.1,"60,899"
940,20061,KS,4.3,"50,102"
941,20063,KS,1.9,"57,676"
942,20065,KS,2.9,"47,104"
943,20067,KS,3.0,"67,764"
944,20069,KS,1.7,"72,095"
945,20071,KS,1.2,"66,089"
946,20073,KS,2.8,"50,399"
947,20075,KS,1.4,"61,342"
948,20077,KS,2.6,"48,275"
949,20079,KS,2.9,"63,861"
950,20081,KS,1.8,"66,053"
951,20083,KS,1.8,"60,414"
952,20085,KS,2.6,"57,871"
953,20087,KS,3.0,"63,712"
954,20089,KS,2.2,"46,688"
955,20091,KS,2.7,"91,799"
956,20093,KS,1.6,"66,713"
957,20095,KS,3.1,"58,678"
958,20097,KS,2.1,"56,664"
959,20099,KS,3.4,"50,222"
960,20101,KS,2.0,"60,530"
961,20103,KS,3.3,"76,429"
962,20105,KS,2.2,"50,231"
963,20107,KS,4.3,"55,006"
964,20109,KS,1.6,"56,833"
965,20111,KS,2.8,"56,290"
966,20113,KS,2.1,"68,904"
967,20115,KS,2.4,"53,709"
968,20117,KS,1.9,"56,429"
969,20119,KS,2.2,"52,590"
970,20121,KS,2.9,"78,717"
971,20123,KS,2.0,"53,745"
972,20125,KS,3.9,"44,071"
973,20127,KS,2.4,"53,793"
974,20129,KS,2.6,"56,878"
975,20131,KS,1.8,"62,744"
976,20133,KS,4.3,"56,085"
977,20135,KS,2.2,"55,311"
978,20137,KS,1.8,"47,512"
979,20139,KS,3.0,"55,287"
980,20141,KS,1.8,"47,811"
981,20143,KS,2.8,"60,560"
982,20145,KS,2.2,"53,821"
983,20147,KS,2.1,"56,047"
984,20149,KS,2.5,"75,476"
985,20151,KS,2.2,"62,958"
986,20153,KS,1.6,"54,417"
987,20155,KS,3.2,"57,611"
988,20157,KS,2.3,"52,537"
989,20159,KS,2.4,"59,659"
990,20161,KS,2.8,"56,333"
991,20163,KS,2.4,"51,376"
992,20165,KS,2.4,"50,673"
993,20167,KS,2.4,"56,536"
994,20169,KS,3.0,"56,928"
995,20171,KS,1.6,"68,514"
996,20173,KS,4.6,"59,789"
997,20175,KS,2.8,"54,330"
998,20177,KS,3.1,"56,191"
999,20179,KS,1.8,"58,186"
1000,20181,KS,2.5,"52,718"
1001,20183,KS,1.7,"49,114"
1002,20185,KS,2.2,"55,004"
1003,20187,KS,1.9,"68,439"
1004,20189,KS,2.1,"66,592"
1005,20191,KS,4.1,"56,609"
1006,20193,KS,1.8,"65,158"
1007,20195,KS,2.1,"60,246"
1008,20197,KS,2.5,"64,886"
1009,20199,KS,1.7,"57,386"
1010,20201,KS,1.7,"51,751"
1011,20203,KS,2.0,"61,326"
1012,20205,KS,4.0,"50,472"
1013,20207,KS,3.5,"45,357"
1014,20209,KS,4.7,"52,223"
1015,21000,KY,4.7,"54,074"
1016,21001,KY,5.0,"42,429"
1017,21003,KY,4.0,"49,980"
1018,21005,KY,4.0,"65,443"
1019,21007,KY,5.0,"48,623"
1020,21009,KY,5.3,"45,298"
1021,21011,KY,5.8,"41,778"
1022,21013,KY,5.7,"30,202"
1023,21015,KY,3.8,"82,393"
1024,21017,KY,3.9,"52,368"
1025,21019,KY,6.2,"54,694"
1026,21021,KY,5.0,"53,374"
1027,21023,KY,4.7,"55,112"
1028,21025,KY,8.6,"33,852"
1029,21027,KY,5.2,"50,292"
1030,21029,KY,4.6,"71,835"
1031,21031,KY,4.6,"44,933"
1032,21033,KY,4.2,"47,670"
1033,21035,KY,4.5,"47,438"
1034,21037,KY,4.0,"64,151"
1035,21039,KY,3.8,"46,935"
1036,21041,KY,4.1,"52,640"
1037,21043,KY,7.8,"44,720"
1038,21045,KY,4.1,"35,069"
1039,21047,KY,5.8,"46,950"
1040,21049,KY,4.4,"58,340"
1041,21051,KY,6.8,"26,866"
1042,21053,KY,4.4,"37,428"
1043,21055,KY,4.3,"46,844"
1044,21057,KY,3.5,"38,275"
1045,21059,KY,4.3,"54,948"
1046,21061,KY,5.1,"44,459"
1047,21063,KY,8.4,"35,030"
1048,21065,KY,5.2,"39,719"
1049,21067,KY,3.9,"60,215"
1050,21069,KY,4.9,"44,691"
1051,21071,KY,7.1,"35,087"
1052,21073,KY,4.4,"59,911"
1053,21075,KY,5.3,"36,421"
1054,21077,KY,4.3,"55,650"
1055,21079,KY,4.5,"54,951"
1056,21081,KY,4.5,"56,274"
1057,21083,KY,4.4,"44,475"
1058,21085,KY,5.6,"42,297"
1059,21087,KY,3.7,"41,322"
1060,21089,KY,6.8,"55,777"
1061,21091,KY,4.4,"57,111"
1062,21093,KY,4.7,"56,557"
1063,21095,KY,8.6,"30,745"
1064,21097,KY,3.9,"55,934"
1065,21099,KY,4.4,"41,608"
1066,21101,KY,4.5,"54,701"
1067,21103,KY,4.0,"53,170"
1068,21105,KY,4.5,"46,553"
1069,21107,KY,5.1,"47,631"
1070,21109,KY,6.3,"35,889"
1071,21111,KY,4.8,"62,067"
1072,21113,KY,4.0,"67,610"
1073,21115,KY,7.3,"40,455"
1074,21117,KY,4.2,"66,015"
1075,21119,KY,7.2,"33,253"
1076,21121,KY,6.2,"31,568"
1077,21123,KY,4.9,"50,980"
1078,21125,KY,4.5,"50,743"
1079,21127,KY,6.4,"38,213"
1080,21129,KY,5.6,"30,575"
1081,21131,KY,8.1,"39,098"
1082,21133,KY,7.6,"36,259"
1083,21135,KY,7.6,"39,288"
1084,21137,KY,5.6,"43,748"
1085,21139,KY,6.1,"52,994"
1086,21141,KY,3.8,"51,905"
1087,21143,KY,4.5,"51,970"
1088,21145,KY,5.0,"50,650"
1089,21147,KY,5.7,"31,453"
1090,21149,KY,4.3,"48,088"
1091,21151,KY,4.1,"55,336"
1092,21153,KY,12.5,"32,389"
1093,21155,KY,4.4,"57,062"
1094,21157,KY,4.7,"56,286"
1095,21159,KY,9.3,"30,320"
1096,21161,KY,5.5,"49,216"
1097,21163,KY,5.3,"56,845"
1098,21165,KY,6.9,"40,773"
1099,21167,KY,4.6,"53,743"
1100,21169,KY,5.4,"39,993"
1101,21171,KY,4.0,"38,449"
1102,21173,KY,5.3,"51,234"
1103,21175,KY,5.8,"38,274"
1104,21177,KY,6.6,"45,599"
1105,21179,KY,4.3,"68,264"
1106,21181,KY,4.3,"48,290"
1107,21183,KY,5.5,"48,621"
1108,21185,KY,3.6,"105,897"
1109,21187,KY,4.3,"45,177"
1110,21189,KY,7.0,"25,997"
1111,21191,KY,4.1,"60,824"
1112,21193,KY,6.3,"35,555"
1113,21195,KY,6.4,"38,917"
1114,21197,KY,4.8,"40,215"
1115,21199,KY,4.9,"44,717"
1116,21201,KY,4.2,"49,529"
1117,21203,KY,5.0,"42,205"
1118,21205,KY,5.3,"46,535"
1119,21207,KY,5.4,"41,088"
1120,21209,KY,3.7,"70,526"
1121,21211,KY,3.8,"75,600"
1122,21213,KY,4.2,"56,107"
1123,21215,KY,4.2,"83,583"
1124,21217,KY,3.9,"48,384"
1125,21219,KY,3.6,"50,393"
1126,21221,KY,5.1,"50,258"
1127,21223,KY,4.8,"64,971"
1128,21225,KY,4.4,"53,064"
1129,21227,KY,4.3,"56,552"
1130,21229,KY,3.9,"51,897"
1131,21231,KY,5.1,"36,628"
1132,21233,KY,4.5,"52,901"
1133,21235,KY,5.0,"34,559"
1134,21237,KY,5.9,"33,757"
1135,21239,KY,3.4,"69,544"
1136,22000,LA,5.5,"51,730"
1137,22001,LA,4.9,"45,183"
1138,22003,LA,5.5,"49,671"
1139,22005,LA,4.2,"88,680"
1140,22007,LA,7.2,"52,046"
1141,22009,LA,5.2,"40,448"
1142,22011,LA,4.1,"53,708"
1143,22013,LA,5.7,"39,695"
1144,22015,LA,3.9,"53,225"
1145,22017,LA,6.2,"43,216"
1146,22019,LA,5.6,"57,252"
1147,22021,LA,4.6,"42,490"
1148,22023,LA,3.5,"60,887"
1149,22025,LA,5.1,"39,222"
1150,22027,LA,4.9,"37,407"
1151,22029,LA,5.9,"37,546"
1152,22031,LA,4.8,"43,733"
1153,22033,LA,5.3,"57,099"
1154,22035,LA,9.9,"32,813"
1155,22037,LA,4.5,"52,158"
1156,22039,LA,5.4,"38,415"
1157,22041,LA,5.8,"42,706"
1158,22043,LA,4.0,"56,380"
1159,22045,LA,6.9,"50,449"
1160,22047,LA,7.2,"36,990"
1161,22049,LA,3.8,"41,940"
1162,22051,LA,6.0,"58,586"
1163,22053,LA,4.7,"47,924"
1164,22055,LA,4.5,"59,362"
1165,22057,LA,4.6,"56,743"
1166,22059,LA,3.3,"48,306"
1167,22061,LA,4.3,"44,728"
1168,22063,LA,3.8,"61,680"
1169,22065,LA,6.7,"33,841"
1170,22067,LA,7.3,"36,290"
1171,22069,LA,4.7,"44,720"
1172,22071,LA,8.3,"51,704"
1173,22073,LA,5.0,"45,251"
1174,22075,LA,4.3,"55,861"
1175,22077,LA,5.7,"49,583"
1176,22079,LA,4.0,"45,130"
1177,22081,LA,4.3,"42,135"
1178,22083,LA,5.2,"43,794"
1179,22085,LA,3.7,"38,833"
1180,22087,LA,6.8,"50,790"
1181,22089,LA,5.0,"69,889"
1182,22091,LA,9.2,"40,709"
1183,22093,LA,7.4,"58,309"
1184,22095,LA,8.5,"56,697"
1185,22097,LA,6.3,"39,153"
1186,22099,LA,5.6,"48,524"
1187,22101,LA,6.7,"47,236"
1188,22103,LA,3.8,"67,462"
1189,22105,LA,6.4,"47,272"
1190,22107,LA,5.9,"33,294"
1191,22109,LA,5.8,"55,402"
1192,22111,LA,4.8,"42,342"
1193,22113,LA,5.0,"52,709"
1194,22115,LA,4.6,"55,124"
1195,22117,LA,5.9,"38,604"
1196,22119,LA,5.5,"41,747"
1197,22121,LA,4.9,"62,919"
1198,22123,LA,6.3,"38,513"
1199,22125,LA,3.7,"58,499"
1200,22127,LA,4.8,"42,991"
1201,23000,ME,4.6,"59,145"
1202,23001,ME,4.9,"57,723"
1203,23003,ME,5.7,"45,523"
1204,23005,ME,4.0,"75,455"
1205,23007,ME,5.3,"49,317"
1206,23009,ME,5.0,"58,466"
1207,23011,ME,4.3,"53,876"
1208,23013,ME,4.4,"66,058"
1209,23015,ME,4.4,"64,825"
1210,23017,ME,5.6,"47,611"
1211,23019,ME,4.7,"52,079"
1212,23021,ME,5.0,"48,769"
1213,23023,ME,3.7,"68,433"
1214,23025,ME,6.3,"43,694"
1215,23027,ME,4.7,"56,085"
1216,23029,ME,6.5,"48,582"
1217,23031,ME,4.5,"67,965"
1218,24000,MD,5.8,"88,589"
1219,24001,MD,6.4,"53,023"
1220,24003,MD,4.7,"105,979"
1221,24005,MD,5.7,"79,974"
1222,24009,MD,4.6,"111,665"
1223,24011,MD,4.7,"60,617"
1224,24013,MD,4.2,"104,817"
1225,24015,MD,5.2,"84,248"
1226,24017,MD,5.7,"102,681"
1227,24019,MD,5.6,"54,846"
1228,24021,MD,4.8,"99,254"
1229,24023,MD,5.2,"56,929"
1230,24025,MD,4.8,"102,537"
1231,24027,MD,4.3,"124,042"
1232,24029,MD,5.5,"64,437"
1233,24031,MD,5.5,"115,394"
1234,24033,MD,7.5,"85,246"
1235,24035,MD,4.4,"93,427"
1236,24037,MD,4.5,"105,197"
1237,24039,MD,7.6,"51,787"
1238,24041,MD,5.3,"69,311"
1239,24043,MD,5.4,"63,237"
1240,24045,MD,6.1,"59,387"
1241,24047,MD,8.2,"62,481"
1242,24510,MD,7.6,"51,485"
1243,25000,MA,5.7,"87,288"
1244,25001,MA,6.7,"76,287"
1245,25003,MA,6.7,"65,458"
1246,25005,MA,6.5,"71,998"
1247,25007,MA,6.5,"80,459"
1248,25009,MA,6.4,"88,269"
1249,25011,MA,5.0,"62,920"
1250,25013,MA,7.6,"61,600"
1251,25015,MA,4.7,"73,864"
1252,25017,MA,4.6,"111,158"
1253,25019,MA,7.7,"95,713"
1254,25021,MA,5.1,"106,348"
1255,25023,MA,6.1,"88,420"
1256,25025,MA,6.0,"85,221"
1257,25027,MA,5.9,"77,931"
1258,26000,MI,5.9,"61,352"
1259,26001,MI,7.1,"45,573"
1260,26003,MI,8.0,"51,126"
1261,26005,MI,4.7,"63,732"
1262,26007,MI,5.5,"40,442"
1263,26009,MI,7.0,"58,738"
1264,26011,MI,8.3,"50,286"
1265,26013,MI,7.9,"48,846"
1266,26015,MI,4.6,"68,693"
1267,26017,MI,6.1,"55,860"
1268,26019,MI,6.0,"64,526"
1269,26021,MI,5.8,"56,346"
1270,26023,MI,5.0,"51,757"
1271,26025,MI,6.6,"52,310"
1272,26027,MI,5.1,"61,180"
1273,26029,MI,6.0,"66,728"
1274,26031,MI,8.3,"50,788"
1275,26033,MI,6.5,"52,579"
1276,26035,MI,8.0,"43,726"
1277,26037,MI,4.4,"76,367"
1278,26039,MI,7.1,"49,625"
1279,26041,MI,6.2,"49,414"
1280,26043,MI,4.8,"59,408"
1281,26045,MI,5.3,"67,658"
1282,26047,MI,6.4,"60,401"
1283,26049,MI,7.6,"48,721"
1284,26051,MI,7.1,"48,694"
1285,26053,MI,5.5,"48,975"
1286,26055,MI,5.0,"67,290"
1287,26057,MI,5.6,"54,161"
1288,26059,MI,5.5,"54,974"
1289,26061,MI,5.0,"47,399"
1290,26063,MI,5.4,"53,616"
1291,26065,MI,5.6,"62,711"
1292,26067,MI,4.8,"58,371"
1293,26069,MI,7.2,"43,450"
1294,26071,MI,6.1,"45,098"
1295,26073,MI,5.3,"53,607"
1296,26075,MI,5.7,"57,267"
1297,26077,MI,5.0,"63,279"
1298,26079,MI,7.3,"52,903"
1299,26081,MI,4.7,"65,012"
1300,26083,MI,6.7,"49,890"
1301,26085,MI,8.2,"39,971"
1302,26087,MI,6.1,"68,959"
1303,26089,MI,5.2,"77,687"
1304,26091,MI,5.5,"58,849"
1305,26093,MI,4.2,"87,686"
1306,26095,MI,7.1,"48,764"
1307,26097,MI,8.6,"48,480"
1308,26099,MI,5.9,"64,870"
1309,26101,MI,7.3,"53,488"
